ADDRESS,RD,INC_,TYPE_CODE,CALL_TYPE,LOC_CODE,CASE_NUMBER,TIME,DATE,DAY_FROM,DATE_FROM,TIME_FROM,DAY_TO,DATE_TO,TIME_TO,LOSS,DAMG,FID
3500 BLOCK OF HOLDREDGE ST,33,54111,9800,LOST/STOLE,24,B6-068668,2311,2011/07/28 00:00:00+00,THU,2016/07/28 00:00:00+00,1600,THU,2016/07/28 00:00:00+00,1730,66,0,1
100 BLOCK OF N 29TH ST,31,9300,7500,CHILD A/N,1,B6-000681,1719,2016/01/03 00:00:00+00,SUN,2016/01/03 00:00:00+00,1715,SUN,2016/01/03 00:00:00+00,1719,0,0,2
100 BLOCK OF N 10TH ST,75,23400,6603,LFB $1-49,0,B6-E00001,225,2016/01/01 00:00:00+00,,2016/01/01 00:00:00+00,130,,2016/01/01 00:00:00+00,200,30,0,3
100 BLOCK OF Q ST,20,42000,9400,VANDALISM,76,B6-000269,2007,2016/01/01 00:00:00+00,FRI,2016/01/01 00:00:00+00,1200,FRI,2016/01/01 00:00:00+00,2007,0,100,4
100 BLOCK OF Q ST,20,37000,3401,ROB NO WEAP,76,B6-000226,1606,2016/01/01 00:00:00+00,THU,2015/01/01 00:00:00+00,1500,FRI,2016/01/01 00:00:00+00,1505,100,0,5
1000 BLOCK OF FALL CREEK RD,53,42000,9443,VAND/VEH,1,B6-000136,903,2016/01/01 00:00:00+00,FRI,2016/01/01 00:00:00+00,100,,,845,0,300,6
1000 BLOCK OF M ST,82,5000,4151,ASLT NO WEAP,2,B6-000061,208,2016/01/01 00:00:00+00,FRI,2016/01/01 00:00:00+00,100,FRI,2016/01/01 00:00:00+00,130,0,0,7
1000 BLOCK OF S 14TH ST,85,42000,9443,VAND/VEH,1,B6-000106,410,2016/01/01 00:00:00+00,THU,2015/12/31 00:00:00+00,2100,FRI,2016/01/01 00:00:00+00,400,0,300,8
10TH & GARFIELD,94,5100,4152,ASLT NO WEAP,1,B6-000066,220,2016/01/01 00:00:00+00,FRI,2016/01/01 00:00:00+00,200,FRI,2016/01/01 00:00:00+00,220,0,200,9
1100 BLOCK OF F ST,86,5000,4152,ASLT NO WEAP,84,B6-000299,2300,2016/01/01 00:00:00+00,FRI,2016/01/01 00:00:00+00,2245,FRI,2016/01/01 00:00:00+00,2259,0,0,10
1200 BLOCK OF F ST,85,23500,6301,LFA $200 +,84,B6-000297,2249,2016/01/01 00:00:00+00,FRI,2016/01/01 00:00:00+00,2244,,,,290,0,11
1400 BLOCK OF O ST,78,14900,0,LIC VIOL.,12,B6-000034,113,2016/01/01 00:00:00+00,FRI,2016/01/01 00:00:00+00,105,FRI,2016/01/01 00:00:00+00,112,0,0,12
1400 BLOCK OF SUPERIOR ST,129,5000,4151,ASLT NO WEAP,18,B6-000104,500,2016/01/01 00:00:00+00,FRI,2016/01/01 00:00:00+00,30,FRI,2016/01/01 00:00:00+00,47,0,0,13
1400 BLOCK OF SUPERIOR ST,129,5000,4152,ASLT NO WEAP,18,B6-000023,47,2016/01/01 00:00:00+00,FRI,2016/01/01 00:00:00+00,30,FRI,2016/01/01 00:00:00+00,47,0,0,14
1600 BLOCK OF D ST,85,13000,0,DISTURBNCE,84,B6-000035,118,2016/01/01 00:00:00+00,FRI,2016/01/01 00:00:00+00,117,FRI,2016/01/01 00:00:00+00,118,0,0,15
1600 BLOCK OF PROSPECT ST,94,27222,8600,NARCOTICS,1,B6-000280,2136,2016/01/01 00:00:00+00,THU,2015/01/01 00:00:00+00,1830,,,,0,0,16
1600 BLOCK OF PROSPECT ST,94,17400,9300,COUNTERFEIT,1,B6-000283,2144,2016/01/01 00:00:00+00,FRI,2016/01/01 00:00:00+00,1830,,,,0,0,17
1800 BLOCK OF S 47TH ST,59,25211,9510,MS PERS JUV,80,B6-000160,1210,2016/01/01 00:00:00+00,,2016/01/01 00:00:00+00,1130,,,,0,0,18
1800 BLOCK OF S 47TH ST,59,42000,9400,VANDALISM,80,B6-000166,1253,2016/01/01 00:00:00+00,FRI,2016/01/01 00:00:00+00,1130,,,,0,200,19
1900 BLOCK OF F ST,68,23400,6603,LFB $1-49,83,B6-000189,1358,2016/01/01 00:00:00+00,TUE,2015/12/01 00:00:00+00,800,WED,2015/12/30 00:00:00+00,2000,10,0,20
1900 BLOCK OF N COTNER BLVD,43,25211,9510,MS PERS JUV,82,B6-000101,437,2016/01/01 00:00:00+00,,2016/01/01 00:00:00+00,30,,,,0,0,21
2000 BLOCK OF J ST,68,29100,9100,FRAUD,84,B6-000281,2134,2016/01/01 00:00:00+00,FRI,2016/01/01 00:00:00+00,2130,,,,0,0,22
2000 BLOCK OF S 17TH ST,94,37000,3102,ROB GUN,24,B6-000247,1810,2016/01/01 00:00:00+00,FRI,2016/01/01 00:00:00+00,1810,,,,0,0,23
2100 BLOCK OF D ST,147,42000,9443,VAND/VEH,80,B6-000156,1144,2016/01/01 00:00:00+00,FRI,2016/01/01 00:00:00+00,1030,,,,0,250,24
2300 BLOCK OF OLD GLORY RD,131,6000,5122,BURG RN NFE,83,B6-000214,1547,2016/01/01 00:00:00+00,FRI,2016/01/01 00:00:00+00,30,FRI,2016/01/01 00:00:00+00,300,200,0,25
2300 BLOCK OF S 16TH ST,95,9500,7500,CHILD A/N,80,B6-000153,1140,2016/01/01 00:00:00+00,FRI,2015/12/25 00:00:00+00,800,FRI,2016/01/01 00:00:00+00,800,0,0,26
2500 BLOCK OF N 49TH ST,9,27111,8600,NARCOTICS,84,B6-000053,148,2016/01/01 00:00:00+00,FRI,2016/01/01 00:00:00+00,148,,,,0,0,27
2500 BLOCK OF N 67RD ST,3,23400,6602,LFB $50-199,80,B6-000132,845,2016/01/01 00:00:00+00,MON,2015/06/01 00:00:00+00,1,FRI,2016/01/01 00:00:00+00,800,100,0,28
2600 BLOCK OF PARK BLVD,93,14900,0,LIC VIOL.,17,B6-000047,142,2016/01/01 00:00:00+00,THU,2015/12/31 00:00:00+00,2000,FRI,2016/01/01 00:00:00+00,142,0,0,29
2700 BLOCK OF N 1ST ST,134,42200,9443,VAND/VEH,82,B6-000126,808,2016/01/01 00:00:00+00,FRI,2016/01/01 00:00:00+00,730,,,,0,1500,30
2900 BLOCK OF HOLDREGE ST,15,42000,9400,VANDALISM,82,B6-000229,1645,2016/01/01 00:00:00+00,FRI,2016/01/01 00:00:00+00,1600,FRI,2016/01/01 00:00:00+00,1640,0,150,31
2900 BLOCK OF N 14TH ST,123,5100,4152,ASLT NO WEAP,80,B6-000107,507,2016/01/01 00:00:00+00,FRI,2016/01/01 00:00:00+00,400,FRI,2016/01/01 00:00:00+00,507,0,10000,32
2900 BLOCK OF N 50TH ST,9,5100,4152,ASLT NO WEAP,84,B6-000157,1153,2016/01/01 00:00:00+00,FRI,2016/01/01 00:00:00+00,1100,FRI,2016/01/01 00:00:00+00,1153,0,0,33
2900 BLOCK OF PINE LAKE RD,178,9200,7500,CHILD A/N,28,B6-000165,1248,2016/01/01 00:00:00+00,MON,2015/02/16 00:00:00+00,1325,MON,2015/02/16 00:00:00+00,1329,0,0,34
300 BLOCK OF ALEXANDER RD,134,27444,0,NARCOTICS,1,B6-000095,409,2016/01/01 00:00:00+00,THU,2015/12/31 00:00:00+00,2100,FRI,2016/01/01 00:00:00+00,409,0,0,35
3100 BLOCK OF S 16TH ST,112,5100,4152,ASLT NO WEAP,80,B6-000062,219,2016/01/01 00:00:00+00,FRI,2016/01/01 00:00:00+00,150,FRI,2016/01/01 00:00:00+00,215,0,0,36
3200 BLOCK OF NW 1ST ST,137,39100,9621,PORNOGRAPHY,80,B6-000275,2025,2016/01/01 00:00:00+00,THU,2015/01/01 00:00:00+00,1551,,,,0,0,37
3200 BLOCK OF NW 1ST ST,137,61000,8200,PHONE/COMP,80,B6-000227,1608,2016/01/01 00:00:00+00,FRI,2016/01/01 00:00:00+00,1608,,,,0,0,38
3300 BLOCK OF HOLDREGE ST,33,5000,4151,ASLT NO WEAP,36,B6-000100,436,2016/01/01 00:00:00+00,FRI,2016/01/01 00:00:00+00,430,FRI,2016/01/01 00:00:00+00,436,0,0,39
3400 BLOCK OF N 85TH ST,193,23300,6203,LSL $1-49,17,B6-000192,1430,2016/01/01 00:00:00+00,THU,2015/12/31 00:00:00+00,1746,THU,2015/12/31 00:00:00+00,1802,19,0,40
3400 BLOCK OF N 85TH ST,193,23300,6202,LSL $50-199,17,B6-000210,1533,2016/01/01 00:00:00+00,FRI,2016/01/01 00:00:00+00,1500,FRI,2016/01/01 00:00:00+00,1533,91,0,41
3400 BLOCK OF STARR ST,33,25211,9510,MS PERS JUV,80,B6-000292,2220,2016/01/01 00:00:00+00,,2016/01/01 00:00:00+00,2000,,,,0,0,42
3500 BLOCK OF N 27TH ST,113,23300,6203,LSL $1-49,22,B6-000183,1333,2016/01/01 00:00:00+00,MON,2015/11/02 00:00:00+00,1430,MON,2015/11/02 00:00:00+00,1513,29,0,43
3500 BLOCK OF N 27TH ST,113,23300,6203,LSL $1-49,22,B6-000215,1549,2016/01/01 00:00:00+00,MON,2015/12/14 00:00:00+00,1700,MON,2015/12/14 00:00:00+00,1757,10,0,44
3600 BLOCK OF O'HANLON DR,175,25211,9510,MS PERS JUV,80,B6-000149,1130,2016/01/01 00:00:00+00,,2015/12/31 00:00:00+00,1000,,,,0,0,45
3700 BLOCK OF CHADD CT,133,5100,4152,ASLT NO WEAP,82,B6-000222,1614,2016/01/01 00:00:00+00,FRI,2016/01/01 00:00:00+00,1600,,,,0,0,46
4300 BLOCK OF G ST,53,42000,9400,VANDALISM,80,B6-000152,1111,2016/01/01 00:00:00+00,FRI,2016/01/01 00:00:00+00,1111,,,,0,300,47
4300 BLOCK OF G ST,55,5000,4152,ASLT NO WEAP,80,B6-000170,1314,2016/01/01 00:00:00+00,FRI,2016/01/01 00:00:00+00,1111,,,,0,0,48
4300 BLOCK OF N 66TH ST,4,5100,4122,ASLT KNIFE,80,B6-000042,134,2016/01/01 00:00:00+00,FRI,2016/01/01 00:00:00+00,115,FRI,2016/01/01 00:00:00+00,134,0,10,49
4400 BLOCK OF N 70TH ST,2,42100,9400,VANDALISM,80,B6-000128,824,2016/01/01 00:00:00+00,THU,2015/12/31 00:00:00+00,2300,FRI,2016/01/01 00:00:00+00,330,0,0,50
4400 BLOCK OF N 73RD ST,3,23400,6601,LFB $200 +,80,B6-000137,920,2016/01/01 00:00:00+00,WED,2015/11/25 00:00:00+00,1,THU,2015/12/31 00:00:00+00,2100,520,0,51
100 BLOCK OF Q ST,20,23400,6601,LFB $200 +,76,B6-000712,1943,2016/01/03 00:00:00+00,SUN,2016/01/03 00:00:00+00,1230,SUN,2016/01/03 00:00:00+00,1345,543,0,52
2200 BLOCK OF N COTNER BLVD,8,42000,9400,VANDALISM,83,B6-000471,1801,2016/01/02 00:00:00+00,SAT,2015/08/01 00:00:00+00,1200,FRI,2016/01/01 00:00:00+00,1600,0,50,53
2500 BLOCK OF O ST,71,23300,6203,LSL $1-49,36,B6-000378,1032,2016/01/02 00:00:00+00,WED,2015/12/30 00:00:00+00,900,SAT,2016/01/02 00:00:00+00,945,2,0,54
2500 BLOCK OF W VAN DORN ST,156,24166,0,PROP DAM,1,B6-000447,1606,2016/01/02 00:00:00+00,SAT,2016/01/02 00:00:00+00,1600,,,,0,50,55
2800 BLOCK OF S 41ST ST,104,23200,6102,LPS $50-199,80,B6-000539,2355,2016/01/02 00:00:00+00,SAT,2016/01/02 00:00:00+00,2300,SAT,2016/01/02 00:00:00+00,2335,150,0,56
2800 BLOCK OF TIERRA DR,177,29500,9100,FRAUD,84,B6-000385,1121,2016/01/02 00:00:00+00,FRI,2015/01/02 00:00:00+00,1025,,,,0,0,57
300 BLOCK OF CAROLYN CT,52,29400,9100,FRAUD,69,B6-000408,1222,2016/01/02 00:00:00+00,THU,2015/12/31 00:00:00+00,2330,SAT,2016/01/02 00:00:00+00,1222,0,0,58
300 BLOCK OF W O ST,152,23300,6203,LSL $1-49,36,B6-000501,2032,2016/01/02 00:00:00+00,SAT,2016/01/02 00:00:00+00,2008,,,,10,0,59
300 BLOCK OF W O ST,152,23300,6203,LSL $1-49,36,B6-000512,2130,2016/01/02 00:00:00+00,SAT,2016/01/02 00:00:00+00,2120,SAT,2016/01/02 00:00:00+00,2126,12,0,60
3000 BLOCK OF U ST,29,24000,0,MISC OTHER,69,B6-000484,1907,2016/01/02 00:00:00+00,SAT,2016/01/02 00:00:00+00,1200,SAT,2016/01/02 00:00:00+00,1900,0,0,61
3200 BLOCK OF O ST,31,42100,0,VANDALISM,25,B6-000451,1619,2016/01/02 00:00:00+00,SUN,2015/12/27 00:00:00+00,0,SAT,2016/01/02 00:00:00+00,1600,0,50,62
32ND & POTTER,14,5000,4122,ASLT KNIFE,99,B6-000467,1719,2016/01/02 00:00:00+00,SAT,2016/01/02 00:00:00+00,1700,SAT,2016/01/02 00:00:00+00,1719,0,0,63
3300 BLOCK OF GREGORY ST,133,27111,8600,NARCOTICS,80,B6-000475,1733,2016/01/02 00:00:00+00,SAT,2016/01/02 00:00:00+00,1733,,,,0,0,64
3300 BLOCK OF HOLDREGE ST,33,23300,6203,LSL $1-49,36,B6-000338,442,2016/01/02 00:00:00+00,SAT,2016/01/02 00:00:00+00,437,SAT,2016/01/02 00:00:00+00,442,35,0,65
3500 BLOCK OF N 66TH ST,7,61000,8200,PHONE/COMP,80,B6-000376,1027,2016/01/02 00:00:00+00,SAT,2016/01/02 00:00:00+00,1017,SAT,2016/01/02 00:00:00+00,1020,0,0,66
3800 BLOCK OF W O ST,150,27111,8600,NARCOTICS,75,B6-000479,1844,2016/01/02 00:00:00+00,SAT,2016/01/02 00:00:00+00,1800,SAT,2016/01/02 00:00:00+00,1843,0,0,67
3900 BLOCK OF BALDWIN AVE,12,13000,0,DISTURBNCE,84,B6-000317,45,2016/01/02 00:00:00+00,SAT,2016/01/02 00:00:00+00,45,,,,0,0,68
4000 BLOCK OF N 7TH ST,130,6000,5113,BURG RU FE,84,B6-000499,2017,2016/01/02 00:00:00+00,SAT,2016/01/02 00:00:00+00,910,SAT,2016/01/02 00:00:00+00,2010,0,200,69
4100 BLOCK OF BELLVILLE DR,129,61000,8200,PHONE/COMP,81,B6-000363,858,2016/01/02 00:00:00+00,FRI,2015/01/02 00:00:00+00,858,,,,0,0,70
4200 BLOCK OF N 15TH ST,129,42000,9400,VANDALISM,80,B6-000394,1153,2016/01/02 00:00:00+00,FRI,2016/01/01 00:00:00+00,1000,SAT,2016/01/02 00:00:00+00,1120,0,30,71
4400 BLOCK OF GERTIE AVE,107,23500,6301,LFA $200 +,80,B6-000375,1027,2016/01/02 00:00:00+00,FRI,2016/01/01 00:00:00+00,1800,SAT,2016/01/02 00:00:00+00,1000,400,0,72
4400 BLOCK OF S 27TH ST,163,61000,8200,PHONE/COMP,83,B6-000391,1139,2016/01/02 00:00:00+00,SAT,2016/01/02 00:00:00+00,914,SAT,2016/01/02 00:00:00+00,1038,0,0,73
4600 BLOCK OF BALDWIN AVE,11,12000,0,DISTURBNCE,84,B6-000341,515,2016/01/02 00:00:00+00,SAT,2016/01/02 00:00:00+00,515,,,,0,0,74
4600 BLOCK OF BRIARPARK DR,177,13000,0,DISTURBNCE,84,B6-000318,54,2016/01/02 00:00:00+00,SAT,2016/01/02 00:00:00+00,0,SAT,2016/01/02 00:00:00+00,30,0,0,75
4600 BLOCK OF ORCHARD ST,34,42000,9443,VAND/VEH,84,B6-000431,1457,2016/01/02 00:00:00+00,FRI,2016/01/01 00:00:00+00,2300,SAT,2016/01/02 00:00:00+00,0,0,1,76
4600 BLOCK OF S 45TH ST,107,29400,9100,FRAUD,69,B6-000427,1436,2016/01/02 00:00:00+00,MON,2015/12/21 00:00:00+00,1,SAT,2016/01/02 00:00:00+00,1436,0,0,77
4700 BLOCK OF N 27TH ST,116,23300,6203,LSL $1-49,17,B6-000483,1843,2016/01/02 00:00:00+00,SAT,2016/01/02 00:00:00+00,1835,SAT,2016/01/02 00:00:00+00,1843,34,0,78
4700 BLOCK OF S 72ND ST,183,23400,6602,LFB $50-199,80,B6-000324,219,2016/01/02 00:00:00+00,FRI,2015/01/02 00:00:00+00,130,SAT,2016/01/02 00:00:00+00,215,192,0,79
4800 BLOCK OF BENTON ST,10,24000,0,MISC OTHER,83,B6-000362,851,2016/01/02 00:00:00+00,TUE,2015/12/29 00:00:00+00,1900,SAT,2016/01/02 00:00:00+00,845,0,0,80
4900 BLOCK OF FREMONT ST,10,13000,0,DISTURBNCE,80,B6-000400,1220,2016/01/02 00:00:00+00,SAT,2016/01/02 00:00:00+00,600,SAT,2016/01/02 00:00:00+00,1220,0,0,81
4TH & BELMONT,136,42100,9400,VANDALISM,1,B6-000380,1041,2016/01/02 00:00:00+00,FRI,2016/01/01 00:00:00+00,2000,SAT,2016/01/02 00:00:00+00,1030,0,10,82
500 BLOCK OF D ST,87,5000,4152,ASLT NO WEAP,80,B6-000432,1510,2016/01/02 00:00:00+00,THU,2015/12/31 00:00:00+00,1900,THU,2015/12/31 00:00:00+00,2100,0,0,83
500 BLOCK OF S 27TH ST,63,6000,5123,BURG RU NFE,84,B6-000414,1305,2016/01/02 00:00:00+00,SAT,2016/01/02 00:00:00+00,500,SAT,2016/01/02 00:00:00+00,1230,524,0,84
5200 BLOCK OF LEIGHTON AVE,9,23900,6902,LAR $50-199,83,B6-000462,1701,2016/01/02 00:00:00+00,FRI,2016/01/01 00:00:00+00,2200,SAT,2016/01/02 00:00:00+00,600,150,0,85
5200 BLOCK OF N 27TH ST,116,23300,6203,LSL $1-49,17,B6-000423,1412,2016/01/02 00:00:00+00,SAT,2016/01/02 00:00:00+00,1400,SAT,2016/01/02 00:00:00+00,1412,28,27,86
5500 BLOCK OF SALT VALLEY VW,166,42000,9443,VAND/VEH,84,B6-000379,1031,2016/01/02 00:00:00+00,SAT,2016/01/02 00:00:00+00,230,SAT,2016/01/02 00:00:00+00,1000,0,150,87
5500 BLOCK OF STONECLIFFE DR,177,23500,6303,LFA $1-49,80,B6-000450,1524,2016/01/02 00:00:00+00,WED,2015/12/30 00:00:00+00,2000,SAT,2016/01/02 00:00:00+00,800,6,0,88
6000 BLOCK OF MERIDIAN DR,117,23500,6304,LFA ATTEMPT,84,B6-000348,721,2016/01/02 00:00:00+00,SAT,2016/01/02 00:00:00+00,720,,,,0,0,89
6100 BLOCK OF OAK RIDGE RD,180,23600,6402,LAA $50-199,1,B6-000488,1918,2016/01/02 00:00:00+00,FRI,2016/01/01 00:00:00+00,2000,SAT,2016/01/02 00:00:00+00,1200,50,50,90
6200 BLOCK OF S 34TH ST,178,13000,0,DISTURBNCE,84,B6-000422,1357,2016/01/02 00:00:00+00,SAT,2016/01/02 00:00:00+00,1300,SAT,2016/01/02 00:00:00+00,1320,0,0,91
6400 BLOCK OF HAVELOCK AVE,4,23200,6102,LPS $50-199,3,B6-000477,1831,2016/01/02 00:00:00+00,SAT,2016/01/02 00:00:00+00,1815,SAT,2016/01/02 00:00:00+00,1831,165,0,92
64TH & HAVELOCK,4,5000,4152,ASLT NO WEAP,3,B6-000482,1857,2016/01/02 00:00:00+00,SAT,2016/01/02 00:00:00+00,1815,SAT,2016/01/02 00:00:00+00,1831,0,0,93
6600 BLOCK OF PIONEERS BLVD,180,25211,9510,MS PERS JUV,76,B6-000513,2106,2016/01/02 00:00:00+00,,2016/01/02 00:00:00+00,1700,,,,0,0,94
700 BLOCK OF S 27TH ST,63,23400,6601,LFB $200 +,84,B6-000374,1016,2016/01/02 00:00:00+00,FRI,2015/10/16 00:00:00+00,UNK,MON,2015/10/19 00:00:00+00,UNK,5100,0,95
700 BLOCK OF S 27TH ST,63,61111,8200,PHONE/COMP,84,B6-000393,1148,2016/01/02 00:00:00+00,SAT,2016/01/02 00:00:00+00,1020,,,,0,0,96
800 BLOCK OF R ST,21,29500,9100,FRAUD,86,B6-000511,2123,2016/01/02 00:00:00+00,FRI,2015/01/02 00:00:00+00,2030,SAT,2016/01/02 00:00:00+00,2120,0,0,97
9300 BLOCK OF FIRETHORNE LN,188,35333,0,SUSP VEH,11,B6-000478,1842,2016/01/02 00:00:00+00,SAT,2016/01/02 00:00:00+00,1830,SAT,2016/01/02 00:00:00+00,1840,0,0,98
HOOK & 70TH,41,27111,8600,NARCOTICS,1,B6-000315,26,2016/01/02 00:00:00+00,SAT,2016/01/02 00:00:00+00,24,SAT,2016/01/02 00:00:00+00,26,0,0,99
MM 399 & I,72,41000,7100,AT CAR,1,B6-000395,1152,2016/01/02 00:00:00+00,THU,2015/12/31 00:00:00+00,1430,THU,2015/12/31 00:00:00+00,1800,2000,0,100
100 BLOCK OF B ST,91,5100,4152,ASLT NO WEAP,82,B6-000604,854,2016/01/03 00:00:00+00,SUN,2016/01/03 00:00:00+00,215,SUN,2016/01/03 00:00:00+00,630,0,0,101
100 BLOCK OF CHARLESTON ST,146,27000,8600,NARCOTICS,62,B6-000640,1326,2016/01/03 00:00:00+00,FRI,2015/05/15 00:00:00+00,1,SUN,2016/01/03 00:00:00+00,1326,0,0,102
1000 BLOCK OF SAUNDERS AVE,124,6000,5212,BURG NRN FE,24,B6-000603,827,2016/01/03 00:00:00+00,SAT,2015/01/03 00:00:00+00,458,SAT,2015/01/03 00:00:00+00,505,550,450,103
1000 BLOCK OF W DAWES AVE,136,5000,4152,ASLT NO WEAP,12,B6-000576,233,2016/01/03 00:00:00+00,SAT,2015/01/03 00:00:00+00,230,,,,0,0,104
1100 BLOCK OF HUFF ST,15,5100,4152,ASLT NO WEAP,80,B6-000552,100,2016/01/03 00:00:00+00,SAT,2016/01/02 00:00:00+00,2358,SUN,2016/01/03 00:00:00+00,59,0,0,105
1100 BLOCK OF HUFF ST,15,42000,9400,VANDALISM,80,B6-000580,304,2016/01/03 00:00:00+00,SUN,2016/01/03 00:00:00+00,50,SUN,2016/01/03 00:00:00+00,100,0,250,106
1100 BLOCK OF HUMPHREY AVE,217,25211,9510,MS PERS JUV,80,B6-000686,1750,2016/01/03 00:00:00+00,,2016/01/03 00:00:00+00,1735,,,,0,0,107
1100 BLOCK OF N 25TH ST,16,11999,9990,DEATH UNK,83,B6-000667,1521,2016/01/03 00:00:00+00,SUN,2016/01/03 00:00:00+00,715,SUN,2016/01/03 00:00:00+00,1521,0,0,108
1100 BLOCK OF SW 10TH CIR,153,42000,9443,VAND/VEH,82,B6-000601,803,2016/01/03 00:00:00+00,THU,2015/12/31 00:00:00+00,1300,SUN,2016/01/03 00:00:00+00,800,0,400,109
1200 BLOCK OF ARAPAHOE ST,111,24255,8200,PHONE/COMP,84,B6-000726,2053,2016/01/03 00:00:00+00,SUN,2016/01/03 00:00:00+00,2053,,,,0,0,110
1300 BLOCK OF CLAREMONT ST,18,9500,7500,CHILD A/N,80,B6-000551,34,2016/01/03 00:00:00+00,MON,2015/12/07 00:00:00+00,1,MON,2015/12/14 00:00:00+00,2359,0,0,111
1500 BLOCK OF S CODDINGTON AVE,156,23400,6601,LFB $200 +,28,B6-000630,1236,2016/01/03 00:00:00+00,SAT,2016/01/02 00:00:00+00,1724,SAT,2016/01/02 00:00:00+00,1735,600,0,112
1800 BLOCK OF N COTNER BLVD,40,27444,8600,NARCOTICS,80,B6-000707,1940,2016/01/03 00:00:00+00,SUN,2016/01/03 00:00:00+00,800,SUN,2016/01/03 00:00:00+00,1900,0,0,113
1800 BLOCK OF S 47TH ST,59,56366,8490,ATT SUIC-OTH,80,B6-000625,1157,2016/01/03 00:00:00+00,SUN,2016/01/03 00:00:00+00,1155,SUN,2016/01/03 00:00:00+00,1157,0,0,114
1800 BLOCK OF S 47TH ST,59,5000,4152,ASLT NO WEAP,80,B6-000629,1236,2016/01/03 00:00:00+00,SUN,2016/01/03 00:00:00+00,1157,,,,0,0,115
1900 BLOCK OF E ST,68,42000,9443,VAND/VEH,84,B6-000611,934,2016/01/03 00:00:00+00,SAT,2016/01/02 00:00:00+00,2100,SUN,2016/01/03 00:00:00+00,930,0,500,116
2000 BLOCK OF S 26TH ST,498,23500,6301,LFA $200 +,80,B6-000616,1104,2016/01/03 00:00:00+00,SAT,2016/01/02 00:00:00+00,1930,SUN,2016/01/03 00:00:00+00,1100,610,0,117
2100 BLOCK OF A ST,97,5100,4152,ASLT NO WEAP,84,B6-000648,1358,2016/01/03 00:00:00+00,SUN,2016/01/03 00:00:00+00,1345,SUN,2016/01/03 00:00:00+00,1357,0,0,118
2100 BLOCK OF N 61ST ST,40,42000,9400,VANDALISM,80,B6-000545,15,2016/01/03 00:00:00+00,SUN,2016/01/03 00:00:00+00,1,SUN,2016/01/03 00:00:00+00,5,0,5,119
2300 BLOCK OF A ST,466,25111,9500,MS PERS,84,B6-000705,1917,2016/01/03 00:00:00+00,,2016/01/03 00:00:00+00,1840,,,,0,0,120
2300 BLOCK OF CORNHUSKER HWY,127,23300,6203,LSL $1-49,36,B6-000558,117,2016/01/03 00:00:00+00,SUN,2016/01/03 00:00:00+00,111,,,,44,0,121
2300 BLOCK OF N 1ST ST,134,23300,6202,LSL $50-199,36,B6-000602,812,2016/01/03 00:00:00+00,SUN,2016/01/03 00:00:00+00,221,SUN,2016/01/03 00:00:00+00,227,73,0,122
2300 BLOCK OF S 16TH ST,20,40222,0,SP SERVICE,76,B6-000559,122,2016/01/03 00:00:00+00,SAT,2016/01/02 00:00:00+00,2300,SUN,2016/01/03 00:00:00+00,122,0,0,123
2400 BLOCK OF N ST,71,23300,6203,LSL $1-49,21,B6-000610,930,2016/01/03 00:00:00+00,SUN,2016/01/03 00:00:00+00,915,,,,4,0,124
2500 BLOCK OF O ST,71,23300,6203,LSL $1-49,36,B6-000607,915,2016/01/03 00:00:00+00,SUN,2016/01/03 00:00:00+00,900,SUN,2016/01/03 00:00:00+00,915,4,0,125
2500 BLOCK OF O ST,71,27111,8600,NARCOTICS,36,B6-000628,1226,2016/01/03 00:00:00+00,SUN,2016/01/03 00:00:00+00,945,,,,0,0,126
2500 BLOCK OF SOUTH ST,498,23500,6302,LFA $50-199,83,B6-000730,2112,2016/01/03 00:00:00+00,FRI,2016/01/01 00:00:00+00,15,SUN,2016/01/03 00:00:00+00,2100,100,0,127
2500 BLOCK OF SURREY CT,163,61009,8200,PHONE/COMP,80,B6-000639,1317,2016/01/03 00:00:00+00,WED,2015/08/19 00:00:00+00,,FRI,2016/01/01 00:00:00+00,1107,0,0,128
2700 BLOCK OF CAPITAL PKWY,60,42000,9443,VAND/VEH,1,B6-000569,224,2016/01/03 00:00:00+00,SUN,2016/01/03 00:00:00+00,210,SUN,2016/01/03 00:00:00+00,220,0,750,129
2700 BLOCK OF ODESSA CT,178,5000,4152,ASLT NO WEAP,80,B6-000704,1915,2016/01/03 00:00:00+00,SUN,2016/01/03 00:00:00+00,1900,SUN,2016/01/03 00:00:00+00,1915,0,0,130
2700 BLOCK OF ODESSA CT,178,9500,7500,CHILD A/N,80,B6-000715,2015,2016/01/03 00:00:00+00,SUN,2016/01/03 00:00:00+00,1900,SUN,2016/01/03 00:00:00+00,1915,0,0,131
27TH & E,564,27111,8600,NARCOTICS,1,B6-000720,2024,2016/01/03 00:00:00+00,SUN,2016/01/03 00:00:00+00,2024,,,,0,0,132
27TH & O,63,27111,8600,NARCOTICS,1,B6-000568,216,2016/01/03 00:00:00+00,SUN,2016/01/03 00:00:00+00,210,SUN,2016/01/03 00:00:00+00,216,0,0,133
2800 BLOCK OF FLETCHER AVE,117,12401,0,DISTURBNCE,84,B6-000692,1755,2016/01/03 00:00:00+00,SAT,2015/01/03 00:00:00+00,1740,SAT,2015/01/03 00:00:00+00,1754,0,0,134
2800 BLOCK OF N 48TH ST,11,23300,6203,LSL $1-49,36,B6-000653,1414,2016/01/03 00:00:00+00,SAT,2015/01/03 00:00:00+00,1411,,,,2,0,135
